channel_id,title,description,subs,video_count,view_count,uploads_playlist,avg_recent_views,engagement_rate,score
UCTkaia4WpyXalL_JTtqVmJQ,Influencer Marketing,"INFLUENCER MARKETING: micro influencer marketing, YouTube influencer marketing, Instagram influencer influencer marketing. Learn Influencer Marketing best practices for Luxury/Beauty eCommerce. Discover how your business can grow with micro influencer marketing, Instagram influencer influencer marketing, YouTube influencers, and influencer marketing in general.",6,28,1422,UUTkaia4WpyXalL_JTtqVmJQ,35.7,0.014,0.157
UCJ6lqeont3m3JL9mt8U3Olg,Talent Resources - Influencer Marketing Agency,"Talent Resources is a leading digital marketing agency recognized as a leader in developing and producing influencer-based social media campaigns.

Founded in 2007, Talent Resources is a digital marketing agency recognized as a leader in developing and producing influencer-based social media campaigns. The Company provides holistic marketing solutions to brands and full service and social platform management to talent and businesses.

The Company’s influencer model begins with proprietary social media insights, leading to the development and production of bespoke consumer experiences and story-based content produced with culturally relevant talent, stimulating consumer conversations, increasing brand awareness, and driving digital engagement.

Our headquarters is located in New York, and additional satellite offices are located in Boston, Los Angeles, Chicago, London, and Dubai.
",1,7,218,UUJ6lqeont3m3JL9mt8U3Olg,31.14,0.0138,0.151
UCXn7QWR6btTbysumyp2bozQ,"Julius, Influencer Marketing","We're an influencer marketing software that helps brands and agencies find the right people to tell their stories. We believe in the power of people - nuances, flaws, and all. We strive to empower them  with informative marketing content so marketers can influence their audiences in more authentic ways.

We'll be posting how-to's, podcasts, interviews, and more.",15,7,428,UUXn7QWR6btTbysumyp2bozQ,61.14,0.0117,0.149
UCgbWyQw_MJvSlpexCELjugw,Influencer Marketing Hub,,4,1,90,UUgbWyQw_MJvSlpexCELjugw,90.0,0.0111,0.149
UCxtWj8xknqMMJvFuYTkG9_w,Influencer Marketing Insights,,0,2,183,UUxtWj8xknqMMJvFuYTkG9_w,91.5,0.0109,0.146
UCvRMUGcWr3xQHHgxa1nQPxQ,Linqia,"Linqia is the calm in the chaotic sea of influencer marketing. We are a full-service, tech-enabled platform that handles campaigns for the world’s leading brands from influencer selection to creative strategy to scale. Linqia leverages both science and storytelling to help brands create emotive, human-first campaigns with inspiring content optimized by metrics-driven confidence. 
",34,103,22369,UUvRMUGcWr3xQHHgxa1nQPxQ,236.4,0.0034,0.145
UCYvnRaqey29FSmpS-qr69bQ,Blitz Marketing,"We bring together the latest strategies, newest technology and top talent to grow your business. Let us do what we do best, so you can focus on what you do best – running your business. Blitz is a full service influencer marketing agency. Our in-house team of specialists includes strategists, producers, influencer project managers, designers, developers, digital marketing analysts and social media experts to support your brand from defining goals and objectives to complete campaign execution.",11,14,850,UUYvnRaqey29FSmpS-qr69bQ,43.9,0.0114,0.137
UCqvc6S0N8A5SnJYojdYB2Xg,Augmentum Media,,15,13,750,UUqvc6S0N8A5SnJYojdYB2Xg,68.7,0.0073,0.108
UCyYbx5WVFsiDj4NwjSFjuoA,Carusele Media,"Carusele is the only influencer marketing company providing guaranteed results, such as reach, engagement, web traffic, and conversions, to America’s best brands and retailers.

Since launching in 2015, our unique approach to influencer marketing has been designed to help your brand drive real, meaningful results in the most effective way possible. It starts with our Content Performance Index™, allowing us to track, test and score campaign content in real time, and then identify the best performing content to syndicate any number of ways to reach your highest value customers. Additionally, using our TrueViews Algorithm and our Engaged Audience Profiles™, we’re able to show you exactly how many people you’re reaching and that you’re engaging your precise target audience.

Using one of our four syndication strategies, we’ll partner with you to develop a campaign designed to drive your business objectives.

**Learn more at https://carusele.com**",60,137,52717,UUyYbx5WVFsiDj4NwjSFjuoA,30.7,0.0065,0.107
UCyuhagjd2p6BO318gRdHlPA,Dan Coughlin,"Welcome to Dan Coughlin's YouTube Channel, your ultimate guide to mastering influencer marketing! I help businesses of all sizes—from startups to established brands—leverage the power of social media to achieve measurable success.

What I'll share here:
- Influencer Marketing Insights: Learn to find and partner with influencers.
- Expert Tutorials: Tips on creating impactful campaigns and maximizing ROI.
- Case Studies: Real-life success stories from our clients.

Get Hyped offers comprehensive marketing services with proven expertise and years of experience with a focus on growth metrics. Our tailored business solutions start with customized strategies for your unique marketing needs.

Subscribe and hit the notification bell to get the latest tips and insights.

Transform your business with Get Hyped. Partner with us today!
",17,44,4626,UUyuhagjd2p6BO318gRdHlPA,185.6,0.0011,0.094
UCp9Gm3B9HWof5ZlMl3fOe2g,Automate Chat & Influencer Marketing with Reflys,"Reflys is a comprehensive chat marketing platform designed to enhance customer engagement and drive sales through automation across multiple channels, including Instagram Direct Messages (DMs), Facebook Messenger, SMS, and email. Integrating with your e-commerce platforms, Reflys enables businesses to automate responses, personalize interactions, and streamline marketing efforts.

- Automate responses to post comments, story mentions, story replies, and DMs
- Seamlessly integrate Email and SMS for automated communication.
- Share product carousels and offer personalized coupon codes via DMs.
- Manage conversations with tags and custom fields for efficient tracking.
- Build customer contact lists through Instagram DMs and Messenger
",8,8,260,UUp9Gm3B9HWof5ZlMl3fOe2g,32.5,0.0077,0.094
UCjlwucBLSkE-Lr7MH1bZDtw,SocialBook Influencer Marketing Software,"Welcome to SocialBook’s official YouTube channel! 🎥

Discover how our platform helps you:
-Find the right influencers with advanced search and filters
-Analyze campaign performance with real-time data and insights
-Manage collaborations seamlessly with our all-in-one platform

Subscribe to learn how SocialBook can transform your influencer marketing strategy!

#InfluencerMarketing #SocialBook #YouTubeTools
",10,21,412,UUjlwucBLSkE-Lr7MH1bZDtw,30.2,0.0033,0.05
UCcvSI8-n7mtsWU4eBECuP2A,Influencer Marketing,,0,1,35,UUcvSI8-n7mtsWU4eBECuP2A,35.0,0.0,0.014
UCx4rmVaWnGeranhE-4NI59g,Influencer Marketing Insights,,0,1,20,UUx4rmVaWnGeranhE-4NI59g,20.0,0.0,0.008
UCgCjLrWEOBhbgySxnt9Sv3w,Influencer Marketing,,0,1,16,UUgCjLrWEOBhbgySxnt9Sv3w,16.0,0.0,0.006
UCwTwfegRT7tC9lkClvbNrIA,Maynard Harry Influencer Marketing Expert,,9,27,61,UUwTwfegRT7tC9lkClvbNrIA,0.8,0.0,0.005
UCu5zb_57ap6m4zk7B0TSYDw,The Influencer Marketing Podcast,"The Influencer Marketing Podcast delves into the latest insights on branding, PR, and influencer marketing trends. We bring you strategies, trends, and insights directly from industry experts. Hosted by Paiame Shalalvand, Co-founder of Scope.",4,39,398,UUu5zb_57ap6m4zk7B0TSYDw,6.0,0.0,0.004
UCz70vRsZ8SytHHYYnCedyTg,Influencer Marketing,"We'll help you find the right influencers for your brand, develop a strategy for reaching them, create content that resonates with them, and promote it using multiple channels. We'll even provide feedback on your campaign so that you know what worked, what didn't work, and how to improve next time around.

",0,2,15,UUz70vRsZ8SytHHYYnCedyTg,7.5,0.0,0.003
UCNThfxSbONJ1Zg-jSBbyCkg,Namita.influencemarketing,,0,12,59,UUNThfxSbONJ1Zg-jSBbyCkg,5.7,0.0,0.002
UCFOaFrq-qcehqymWx0dGRKg,Local Influencer Marketing By Best Town Media,,1,1,0,UUFOaFrq-qcehqymWx0dGRKg,0.0,0.0,0.001
UC65LgRShAjYMD-ut0HZ4pRQ,Cloutin - Influencer Marketing,,1,0,0,UU65LgRShAjYMD-ut0HZ4pRQ,0.0,0.0,0.001
UCtKtZT2i4-CiOC3cWSaDLFQ,IVANPOSTOU INFLUENCER MARKETING,,0,1,3,UUtKtZT2i4-CiOC3cWSaDLFQ,3.0,0.0,0.001
UC4sfs1ke_5n87mC5hMLnLpw,Influencer Marketing Hub,,0,1,3,UU4sfs1ke_5n87mC5hMLnLpw,3.0,0.0,0.001
UCckQPiJd_i7NbHFqmJAuJdw,Influencer Marketing Insights,,0,1,0,UUckQPiJd_i7NbHFqmJAuJdw,0.0,0.0,0.0
UCi-gYvaIdkWOFNKfN1uUzBw,Dasviral Influencer Marketing,,0,0,0,UUi-gYvaIdkWOFNKfN1uUzBw,0.0,0.0,0.0
UCTSYZcekcNmSarIjSTrE80Q,Flytant - Influencer Marketing,,0,0,0,UUTSYZcekcNmSarIjSTrE80Q,0.0,0.0,0.0
UCBGYIXaxXDOeotnM5XsPD2Q,Influencer marketing,,0,0,0,UUBGYIXaxXDOeotnM5XsPD2Q,0.0,0.0,0.0
UClUslB24XnSYPLwlJBbQZow,Dasviral Influencer Marketing,,0,0,0,UUlUslB24XnSYPLwlJBbQZow,0.0,0.0,0.0
UC7sjILsCdFxdyC_gDu-76_g,Flytant - Influencer Marketing,,0,0,0,UU7sjILsCdFxdyC_gDu-76_g,0.0,0.0,0.0
UCvZuClg6Zazzpu06l2MSADA,Dasviral Influencer Marketing,,0,0,0,UUvZuClg6Zazzpu06l2MSADA,0.0,0.0,0.0
UCqKXgTKSrvgEnNv5pA929SA,Dasviral Influencer Marketing,,0,0,0,UUqKXgTKSrvgEnNv5pA929SA,0.0,0.0,0.0
UCPYrVKbNCPO4mEtLZWS6efQ,Dasviral Influencer Marketing,,0,0,0,UUPYrVKbNCPO4mEtLZWS6efQ,0.0,0.0,0.0
UC8BEsDcN3_597wQ17l3P_kA,Influencer Marketing Brand,,0,9,0,UU8BEsDcN3_597wQ17l3P_kA,0.0,0.0,0.0
UCoPW6old-XJgkl2l_Lz65Zg,INFLUENCER MARKETING TRAD,,0,0,0,UUoPW6old-XJgkl2l_Lz65Zg,0.0,0.0,0.0
